播主昵称,达人详情链接,抖音号,播主粉丝数,视频标题,发布时间,视频时长,传播指数,点赞,评论,分享,收藏,播放,热词,视频详情链接,视频链接
重庆旅游攻略,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=57769202&tab=&ts=1719989024&sign=770943cb94fc5ea02cdef8d51ac135d4,qinglv168,17165,与辉同行，将开启重庆之旅，7.2-7.4终于来重庆了 #与辉同行 #与辉同行重庆行,2024/7/1 16:39:27,24秒,88.1,52016,1539,1282,1672,2229740,"重庆,宇辉,声音,同行,与辉,董宇辉,听到,跟着,感谢,欢喜,朋友,期待,直播,心生,你好,肖战,老师,城市,云游,点赞,阅山,贵州,文旅,保护,好想,推荐,地方,大美,夜景,还想",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386584232249822527&dateCode=20240701&ts=1719989024&sign=cff111f78f003a74f2683a22310a18fa,https://www.douyin.com/share/video/7386584232249822527/?mid=
37506450808,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65760275&tab=&ts=1719989024&sign=8e42a35a58c8b12be8a285985dd91418,37506450808,357,#鸵鸟#绵阳鸵鸟#大风#校园@🐷🐷💗🍭💤  鸵鸟！,2024/6/30 22:46:21,8秒,88.0,152012,21972,118464,4290,2336497,"鸵鸟,OK,笑死我了,绵阳,学校,莫名其妙,无语,笑了,九转,大肠,抽象,服了,是真的,拖鞋,老辈子,疑问,宕机,老子,人类,动物园,我服了,视角,姐姐,小心,会笑,猪头,冰天雪地,刮大风,花开富贵,言行举止",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386307676176747817&dateCode=20240630&ts=1719989024&sign=c14281d0557411ac6a868afb06d07ab3,https://www.douyin.com/share/video/7386307676176747817/?mid=
山虎探案,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=64289818&tab=&ts=1719989024&sign=99bcb05cef4612c9fe55e7881fe8b0ce,93583365074,9534,八旬老太只因太过于节俭差点干掉了全村四百人，太炸裂了#真实事件 #纪录片#奇葩案件 #万万没想到,2024/6/30 19:08:34,2分55秒,88.1,79605,6639,169280,16907,8120417,"老太太,解说,老鼠药,吃了,老太,笑死了,笑死我了,解说员,耗子药,没吃,小编,婆婆,笑死,舍不得,不吃,节俭,不可能,我家,让我,不厚道,笑了,老人,喂鸡,你说,真事,蘑菇,公公,老鼠,喜剧,笑不活了",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386251543923756340&dateCode=20240630&ts=1719989024&sign=d41837c9687fcae964ae98eb55060cf4,https://www.douyin.com/share/video/7386251543923756340/?mid=
HALBAG,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=40205609&tab=&ts=1719989024&sign=7b809bf7143cb51492ac688bbf42c1ec,HALBEG,90946,#夫妻#情感#婚姻情感 #情感共鸣 #夫妻情感,2024/6/29 21:32:38,15分9秒,88.0,51823,8466,39074,15402,2909740,"强壮,爱心,离婚,女人,男人,咖啡,老婆,兄弟,好男人,好女人,感谢,你说,脾气,尊重,结婚,改变,孩子,心碎,原因,改不了,逼出来,不好,的人,拳头,老公,生活,抱抱,朋友,吵架,父母",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385917605275553050&dateCode=20240629&ts=1719989024&sign=b74c040267234bb6fc733041a48eb1ad,https://www.douyin.com/share/video/7385917605275553050/?mid=
关爱流浪猫,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=35769368&tab=&ts=1719989024&sign=bf2e42419a582db74b9446d1da413447,yiyi5985,29330,[关爱流浪猫](2024-06-29)发布的视频,2024/6/29 14:13:10,26秒,88.1,26240,2770,46533,1017,1877336,"老鼠,鼠鼠,鼠鼠我,哭了,涛哥,通知,家鼠,鼠鼠我啊,吓哭了,好可怜,发呆,妈妈,别哭,九转,大肠,粮食,吃饭了,没事,努力,吓死了,真哭,宕机,不回家,猫和老鼠,快来,表锅,一路走好,活着,吃了,OK",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385804328730185000&dateCode=20240629&ts=1719989024&sign=aa2a590188b51afd9ae5b3f9f0c6ad62,https://www.douyin.com/share/video/7385804328730185000/?mid=
郭目不忘,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65706910&tab=&ts=1719989024&sign=72efbba30021831eb596858148e18fa7,G71087598,2766,#谁教的娃这么优秀😀 #分享有趣的视频 #超级萌娃 #这舞姿这步伐,2024/6/29 6:25:11,17秒,88.1,36949,3891,7258,1380,1637894,"天赋,学费,努力,孩子,老师,弟弟,姐姐,无心插柳柳成荫,学会,天才,有心,学会了,花钱,天赋异禀,一文不值,培养,栽花,东西,小孩,优秀,好可爱,一个人,聪明,钱花,宝贝,舞蹈,花不开,学了,妈妈,儿子",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385683695644003618&dateCode=20240629&ts=1719989024&sign=29cec15be4ecf6a772a03f07843ea7c5,https://www.douyin.com/share/video/7385683695644003618/?mid=
草原星星一家✨,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=42160892&tab=&ts=1719989024&sign=de33c581733f49c961d8e2178994be60,1882460502,2601,看看上一集委屈的表情是怎么被羊妈妈顶出来的😂不要看它无辜的表情，其实它一点都不无辜#蒙古獒 #不养狗不知道养狗的乐趣 #牧区生活 #万物皆有灵性 #治愈系,2024/6/28 22:36:53,49秒,88.1,56600,1479,27109,1594,2474773,"长大,好可爱,狗子,草地,四眼,好喜欢,狗狗,羊妈妈,欺负,孩子,小狗,抱抱,可爱的,克尔,蒙古,眼神,小眼神,感觉,好像,嘚瑟,回来,羊肉串,太可爱了,牧羊犬,小家伙,草原,聪明,偷袭,没事,音乐",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385563073718947084&dateCode=20240628&ts=1719989024&sign=d2c5d20961f82ddb73ec7ed34ccdd729,https://www.douyin.com/share/video/7385563073718947084/?mid=
吃瓜小熊,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=7234506&tab=&ts=1719989024&sign=58522a324c2be733927d1a6fd04a0b6e,chiguaxiaoxiong,1528769,好小众的跑车#万万没想到 #搞笑 #游戏 #QQ飞车 #薛之谦,2024/6/28 18:06:39,16秒,88.0,620902,96480,607964,12506,13026558,"薛之谦,飞车,宕机,OK,笑死我了,QQ,九转,大肠,闷闷,想玩,笑死了,qq,下载,发呆,球球,秋秋,官方,抽象,我有,玩了,下回来,感觉,馊主意,跑车,喜欢,笑死,玩家,飞谦,回游,刷到",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385493443461516581&dateCode=20240628&ts=1719989024&sign=5ba13d746084a9bf2bd3d32fd6378f12,https://www.douyin.com/share/video/7385493443461516581/?mid=
可乐要加冰^,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=52514021&tab=&ts=1719989024&sign=2347e40607dd9bb818b3c369e2a5c41a,xsb_xx0511,3476,等比例长大 ! #养成系 @谭茜茜🌟#富几 #富门,2024/6/26 18:58:43,8秒,88.1,155593,9909,44991,7592,2171508,"长大,好帅,喜欢,OK,发呆,调皮,宕机,猪头,我去,一人,AI,刷到,长得,小帅,求求了,努力,我靠,帅哥,小孩,好看,用户,you,帅到,大了,大行,看帅哥,照片,我弟,好像,努力了",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384764653408242984&dateCode=20240626&ts=1719989024&sign=ae5f028e704764452db97db90ee399c8,https://www.douyin.com/share/video/7384764653408242984/?mid=
橙子气泡水,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=59225547&tab=&ts=1719989024&sign=a278e5611735f4269eca5ec93444fe4d,czh45772408,2607,love you2#合照 #何运晨 #南波万,2024/6/26 18:26:41,,88.0,69483,6031,7425,1506,983774,"表哥,表妹,小何,羡慕,嫉妒,姐姐,表姐,破防了,何运晨,我要闹了,逞强,落泪,想要,发出,宕机,跳楼,能不能,发朋友圈,不是我,是你,发呆,季度,OK,破防,签名照,妹妹,好羡慕,姐妹,我去,猪头",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384756398707592448&dateCode=20240626&ts=1719989024&sign=585dc4905caba1519da93b9b75f26352,https://www.douyin.com/share/video/7384756398707592448/?mid=
双巷静子,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=41865106&tab=&ts=1719989024&sign=1b450c12db8419612cd9737f94c61b7d,597547389,3158,想起来了，全部都想起来了 #蒲熠星 #嘟嘟陈怡馨 #名侦探学院 #YESORNO第三季 #回忆杀,2024/6/30 16:28:29,15秒,88.0,56999,1242,4472,2912,1353071,"好久不见,想起,我的爱,回来了,女生,喜欢,空姐,嘟嘟,阿蒲,蒲嘟,众生,好可爱,cp,维修,刷到,逞强,落泪,好喜欢,回家了,眼含,热泪,节目,yes,or,no,好漂亮,抱抱,这是,主任,演过",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386210302641179915&dateCode=20240630&ts=1719989024&sign=d9f7268b9b6349a377f80577b2cb44aa,https://www.douyin.com/share/video/7386210302641179915/?mid=
橘子🍊花开,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65743031&tab=&ts=1719989024&sign=9f203a5c4e7fd4934bb734431724ff6e,dy9tj3qg1tc7,1061,我也要吃#看一遍笑一遍 #河马#万万没想到 #路人视角 #宠物#万物皆有灵性 #见者好运,2024/6/30 9:55:37,12秒,88.0,56751,6717,93983,2306,4188280,"河马,给它,西瓜,给他,好可爱,嘴巴,投喂,九转,大肠,大嘴,宝宝,榴莲,司机,大西瓜,小鹿,孩子,给点,张嘴,吃的,车主,给个,给你,太可爱了,动物,吃了,塞牙缝,东施效颦,感觉,快点,扔个",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386109060501785894&dateCode=20240630&ts=1719989024&sign=8d505264f7524b9179b6ee88aca29318,https://www.douyin.com/share/video/7386109060501785894/?mid=
夜夜快张嘴,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=18740025&tab=&ts=1719989024&sign=94cf1273ce2d5d9bfb9f38b87d06265c,2181668686,3695,啊啊啊啊啊啊宝宝宝宝，你是一个妖娆的宝宝啊啊啊啊啊啊#守夜人 #第五人格 #第五玩家拯救世界,2024/6/29 14:20:37,33秒,88.0,36561,3538,10896,2196,452160,"建模,建模师,海报,好帅,主人,守夜,宝宝,级别,长发,OK,画师,伊塔,骑着,让我,皮肤,许愿,网易,感觉,上班,宕机,好看,老公,金皮,上桌,披风,好像,眼含,热泪,守夜人,三视图",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385806243270593832&dateCode=20240629&ts=1719989024&sign=a9830e674d99d58a8405b1394c1875d3,https://www.douyin.com/share/video/7385806243270593832/?mid=
娱乐圈派大星,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65700779&tab=&ts=1719989024&sign=d298add18a9fca3ffbda1db622faf73c,dyslszmc3fzu,586,"鸽鸽：？？？？
#沙雕人类的迷惑行为 #看一次笑一次系列 #这操作都看傻了 #万万没想到 #超级解压超级舒适",2024/6/28 16:10:22,12秒,88.0,61880,6565,108851,3467,2834619,"鸽子,宕机,九转,大肠,连环套,发呆,连环计,小小陷阱,功德,感觉,人类,陷阱,笑死我了,防不胜防,哥们,就这,OK,笑死,老奶奶,裤衩,一套,小样儿,小老弟,还想,AI,抓到,一波三折,让我,有病,给你",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385463429282237730&dateCode=20240628&ts=1719989024&sign=e7b9528c38a60de1982ee98e4c7393eb,https://www.douyin.com/share/video/7385463429282237730/?mid=
晓萌的小店小号,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=45476480&tab=&ts=1719989024&sign=986ecf48c2b514271a9caafc2bce3e60,zuxiaomeng0813,9535,怎么我这个和别人不一样……,2024/6/28 13:15:24,18秒,88.0,246633,21611,171493,27192,6639095,"老公,笑死我了,努力,评论区,侦察,手抓饼,心眼子,手机,香蕉,人格,还会,反侦查,十八岁,你听,安卓,OK,九转,大肠,努力了,小孩,音频,史密斯夫妇,生就,调皮,对象,他善,博主,别碰,人生,要努力啊",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385418370063011112&dateCode=20240628&ts=1719989024&sign=317c4c2610c75baca1ad1996d1716e3e,https://www.douyin.com/share/video/7385418370063011112/?mid=
清新剂,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65683443&tab=&ts=1719989024&sign=c5a6695fd294cbbae00e0dad8dd5207f,ttkxylsyhxmm,323,柯：有一丝慌乱 #迪丽热巴 #周柯宇,2024/6/27 17:21:33,10秒,88.0,81112,4360,16136,3909,1342086,"好美,眼神,感觉,迪丽热巴,热巴,太美了,好漂亮,姐姐,我去,卧槽,看着,对视,妈妈,看我,造型,OK,好好看,美的,好看,好像,好帅,猪头,周柯宇,美得,漂亮,美貌,妈呀,美死了,宕机,适合",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385110712449797417&dateCode=20240627&ts=1719989024&sign=7af5cddd8674651430bde7bf986e7e4c,https://www.douyin.com/share/video/7385110712449797417/?mid=
王海太源,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=48621355&tab=&ts=1719989024&sign=e3cbd130f3dfebce4b36c3bb705b750a,70284270431,56973,辣妹坎肩小睡裤 我叫王海你记住,2024/6/30 21:39:05,8秒,88.0,79022,32302,162629,2692,3004237,"宕机,男生,发呆,姨妈,女孩,大妹子,OK,生孩子,适合,辽宁,九转,大肠,当皇帝,哥们,私信,体育生,问爆,女的,重庆,调皮,刷到,老公,男人,喜欢,王海,落泪,洗发水,四川,第一眼,给你",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386290359061466405&dateCode=20240630&ts=1719989024&sign=baf24f38cd354dbbce69098986aa5bc5,https://www.douyin.com/share/video/7386290359061466405/?mid=
拿铁续命h呵呵,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=52620722&tab=&ts=1719989024&sign=bd0696e8312e3f3f92e613e3f1ae30b0,39109819290,9464,#坏种 #cos #麦肯娜格瑞斯 #不还原致歉 那奖牌本就该属于我,2024/6/30 19:17:34,11秒,88.0,115408,3875,10385,9431,1003557,"大妹子,cos,宕机,还原,老师,我去,好像,建模,努力了,OK,坏种,感觉,我以为,好牛,妹子,太像,游戏,真人,发呆,卧槽,下雨了,麦肯娜,不还原,认出来,第一眼,妈呀,九转,大肠,我还以为,刷到",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386253879849012490&dateCode=20240630&ts=1719989024&sign=f3866bdd14367bd07213bd6e8ac81cab,https://www.douyin.com/share/video/7386253879849012490/?mid=
凌雲电影解说,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=28074009&tab=&ts=1719989024&sign=1e74bae656883a281f715b249b844a39,ZMt199283,20938,河水是巧克力，树是糖果，连草坪都可以吃的工厂#一剪到底#影视解说 #我的观影报告 #抖音电影解说,2024/6/30 9:25:20,9分30秒,88.0,35034,855,1694,20842,4524759,"肖恩,看过,电影,方式,查理,海默肖恩,小羊肖恩,淘汰,看了,很多遍,妈妈,感谢,OK,冷知识,结尾,作者,老板,小孩,贝拉,好像,搞了半天,温馨提示,电视,主角,的人,金发,神医,九转,大肠,医学奇迹",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386101256466500876&dateCode=20240630&ts=1719989024&sign=0a4a797fb8da0638f48b92a9fd83afa3,https://www.douyin.com/share/video/7386101256466500876/?mid=
狼狼,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=37694823&tab=&ts=1719989024&sign=e68a00b8eff02f8167a8de7da4f345dd,langlang784798,6369,[狼狼](2024-06-30)发布的视频,2024/6/30 7:06:48,3分16秒,88.0,40481,6718,17453,4192,1767035,"感谢,平安,好人,一生,点赞,爱心,大哥,好心人,平平安安,英雄,一家人,这是,善良,头牛,帅哥,小孩,地方,的人,救人,辛苦了,祝福,灾难,无情,健康,老天爷,中国,平安果,请问,眼泪,大赞",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386065538448936229&dateCode=20240630&ts=1719989024&sign=87f5d3fe9fd51d5e1e768ef519a1e585,https://www.douyin.com/share/video/7386065538448936229/?mid=
辣过瘾阿姨,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=51718548&tab=&ts=1719989024&sign=e8178d49de5ea61ac9f26bfa26d03381,1239678828,291,真的抱过来盖被子安全感拉满谁懂😭😭#电影片段 #莱昂纳多小李子 #猫鼠游戏,2024/6/29 23:24:21,10秒,88.0,219963,19713,135702,19807,5111155,"前女友,姐夫,抱抱,你也是,姐姐,男朋友,宝宝,抱过,我姐,嫂子,对象,评论区,好喜欢,喜欢,OK,老公,艾特,刷到,抖音,调皮,哭了,钻过去,前男友,想到,哥哥,想要,女生,盖被,电影,眼含",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385946341672832265&dateCode=20240629&ts=1719989024&sign=1ac61e64846bcb0be1758970e241d509,https://www.douyin.com/share/video/7385946341672832265/?mid=
亿亿辣妈🤰🏻分享,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=25184557&tab=&ts=1719989024&sign=ddf9d379b115b773b853402a7c06b6b9,98925977066,22509,#孕期 容易造成宝宝畸形的原因，孕妈一定要注意#一个身体两个心跳 #孕期注意事项 #怀孕期间的孕妇知识 #孕期知识,2024/6/29 13:42:21,17秒,88.0,17500,3113,89537,9158,4873231,"退退退,感谢,宝宝,顺利,健健康康,无意,绿灯,平平安安,抽烟,孕检,一定会,快快乐乐,洗衣服,做饭,孩子,出生,老公,洗碗,发呆,怀孕,暗中观察,健康,爸爸,提前,记住,用户,感冒,畸形,洗涤剂,宝宝健康",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385796384827395363&dateCode=20240629&ts=1719989024&sign=ff444c3a1730d6c1e23662749c0d021a,https://www.douyin.com/share/video/7385796384827395363/?mid=
顶流营销号,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=29803107&tab=&ts=1719989024&sign=6451324d6a329902932755ebb90edc73,Mangopapers,6921,美国：已老实 求放过#美国#印度#航天,2024/6/28 12:52:42,46秒,88.0,115153,23773,72652,3128,5075550,,https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385412483105688883&dateCode=20240628&ts=1719989024&sign=ca8166758f590cbb2591d61a198e90ed,https://www.douyin.com/share/video/7385412483105688883/?mid=
苏妹逛南通,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=19521471&tab=&ts=1719989024&sign=9286522ac83339a1a2d1058fb165ae5a,ntsumei,225368,南通还是太超前了，菜市场都开始卷了！机器剥毛豆，干净又卫生#南通#菜市场 #剥毛豆神器,2024/6/27 18:22:26,30秒,88.0,41050,5503,56750,8328,12237248,"毛豆,机器,剥好,好吃,有了,免费,没有灵魂,黄豆,剥皮,豆子,菜市场,感觉,有没有,没灵魂,灵魂,超市,带壳,带皮,玩意,便宜,喜欢,收费,回本,南通,没了,科技,盐水,价格,市场,买的",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385126385888611624&dateCode=20240627&ts=1719989024&sign=c1e5279acbb079224d62e1a0994ffd0d,https://www.douyin.com/share/video/7385126385888611624/?mid=
𝓐𝓻𝓽𝓲𝓼𝓽✨艺术馆,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=59406117&tab=&ts=1719989024&sign=b70b9a12e23b6f6950d4fb990fd87d34,85696113054,79539,“官方提示：仅分享给有亿点点艺术细胞的人” #光影艺术 #视觉冲击 #提交艺术 @光里有迹,2024/7/1 16:35:12,30秒,88.0,227731,2,10960,29275,6763880,"不火,致敬,艺术,中国人,给我火,黄家驹,爱心,关注,包火,好活当赏,好厉害,优秀,博主,作品,可以去,支持,要火,预估,亲情,真的爱你,失落,灰色轨迹,勇敢,不再犹豫,人生,光辉岁月,成功,海阔天空,喜欢,喜欢你",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386583104695110931&dateCode=20240701&ts=1719989024&sign=144ccbfe3c543188587dabc192834781,https://www.douyin.com/share/video/7386583104695110931/?mid=
狗蛋（原神）,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=26812945&tab=&ts=1719989024&sign=f555f2c683f31c69c2c6cddd23f7359f,1154673201,24431,骚扰好友就能获得的隐藏成就你拿了吗 #崩坏星穹铁道 #再见匹诺康尼,2024/7/1 11:13:25,23秒,88.0,18974,2045,9653,6778,496914,"骚扰,好友,OK,成就,宕机,调皮,让我,我来,九转,大肠,给你,给我发,试试,表情包,互发,gogogo,发了,小号,暗中观察,我去,水星,不熟,灵机一动,上线,都没有,发呆,大行,宝宝,就你,上号",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386500203290840370&dateCode=20240701&ts=1719989024&sign=390db74e0092a20c585e5bd3eee3a61c,https://www.douyin.com/share/video/7386500203290840370/?mid=
木木（丁剑老师）,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=9395005&tab=&ts=1719989024&sign=c371e6a5f5b92ce0ee038ebfeea9f53b,832271234,17344,6月29日下午五点多，郭庙镇中心小学的两位学生（六3班刘博文、六1班王梦成）到集镇上取快递回家的路上，偶遇一辆三轮车掉到河里，两位同学立即加入了救援的队伍中。为郭庙小学的两位同学点赞！👍🏻👍🏻👍🏻👍🏻#救人瞬间 #做好事 #新时代好少年#抖音小助手传递正能量 #正能量,2024/6/29 21:14:58,8秒,88.0,33855,911,1632,4237,14849842,"感谢,孩子,大人,好孩子,表扬,看热闹,用力,善良,的人,值得,小孩,点赞,少年,帮忙,使劲,老师,好学生,教育,冷漠,这是,三轮车,强则,正能量,有爱心,好人,多人,寂寞,卖力,学校,爸妈",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385913058448723251&dateCode=20240629&ts=1719989024&sign=e3d5aa3620fd8397133a198fd9e90d1f,https://www.douyin.com/share/video/7385913058448723251/?mid=
奕鸣儿,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=40390876&tab=&ts=1719989024&sign=fca2969937cc53cd1e20e94e775d209e,1642457819,16459,#英语口语 #轻欧美 #美剧,2024/6/30 12:44:47,48秒,88.0,68774,771,2538,2943,2138880,"好漂亮,骂人,好像,破防,布兰卡,姿态,不爱,外国人,感觉,博主,妆容,好美,好好看,英语,有点像,美剧,精致,英文,假发,老外,父母,下巴,mean,发呆,吵架,妆造,pose,漂亮,女生,哭了",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386152631925869860&dateCode=20240630&ts=1719989024&sign=db6fe7fcad6fae645bc722f5c91bc251,https://www.douyin.com/share/video/7386152631925869860/?mid=
湖人大家庭,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=63204512&tab=&ts=1719989024&sign=cd5d9f088f8275dfa1e75faa22add671,88200814499,1245,#上热门话题🔥🔥🔥 “惊天大交易，熊二将加入湖人与詹眉组成三巨头。”#湖人#熊出没#詹姆斯#熊二,2024/6/29 10:44:22,53秒,88.0,49643,7039,66299,2979,1449956,"熊二,湖人,OK,总冠军,熊大,光头强,狗熊岭,笑死我了,加盟,逆天,詹姆斯,nba,联盟,交易,没人,NB,无敌了,下赛季,浓眉,蜂蜜,中锋,宕机,疑问,勇士,不知道,建议,洛杉矶,奥尼尔,稳了,离谱",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385750490904153381&dateCode=20240629&ts=1719989024&sign=4136ae992fab24edc9ed3d1cf4551e74,https://www.douyin.com/share/video/7385750490904153381/?mid=
IFBB PRO_裴裴（海柱版）,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=7350546&tab=&ts=1719989024&sign=9a7e23b1b1abfe8a0c04ab76eb56b47f,peipei_901,70114,都假跳 我真跳 内容疑似不是ai生成#星月落入世间 #古典舞,2024/6/28 23:22:39,12秒,88.0,53813,2331,38708,1459,2055371,"海柱,肌肉,发呆,宕机,跳舞,刘海柱,健身,法师,近战法师,早八,OK,这是,抽象,pro,真会,是你,好看,哥们,逞强,落泪,生成,笑死了,ai,天津,喜欢,整活,来了,真好,关注,流量",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385574818931871026&dateCode=20240628&ts=1719989024&sign=17f4e107b2f2fd332f91b8f33e69eefb,https://www.douyin.com/share/video/7385574818931871026/?mid=
林妹妹149,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=13881643&tab=&ts=1719989024&sign=e6d8398aa450435d39d715dc61b39db3,linmeimei304,101289,我们只是打个工，挣点钱的普通人，所以有很多事情都不要太在意，上班就好好工作，下班就好好休息，有人说你好也好，有人说你坏也罢，时刻提醒自己，在别人眼里你啥都不是，在家咱就是半边天！#好好上班努力赚钱 #服装厂,2024/6/27 11:27:38,24秒,88.0,70711,2592,7716,26185,7587793,"美女,裙子,漂亮,好看,衣服,太对了,头发,好漂亮,爱心,道理,上班,说得对,打工,的人,在家,抱抱,普通人,半边天,啥也不是,林妹妹,有链接,在意,下班,你好,感谢,在哪里,工作,妹妹,买的,啥都不是",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385019513311382810&dateCode=20240627&ts=1719989024&sign=b0983d2f23674d4d6b8a648757b2223d,https://www.douyin.com/share/video/7385019513311382810/?mid=
闹市生煎包,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=48636505&tab=&ts=1719989024&sign=a926ec48b8a67c558bcc8592fbe0b5a5,qaz1532326225,324,如果爱是命中注定的相遇#赵今麦李蓉 #张凌赫裴文宣 #度华年  #度华年好看爱看  #手动配乐,2024/6/30 14:50:37,34秒,88.0,117035,8596,40999,5746,1821698,"bgm,BGM,对味,男女主,男二,感觉,华年,有bgm,电视剧,金玉良缘,配乐,OK,有感觉,适配,好配,网友,干巴,好看,张凌赫,音乐,男主,味儿,配音,这是,还得,牛牛,宕机,看了,对了,看剧",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386185046987689267&dateCode=20240630&ts=1719989024&sign=e19b112b9b5df4eebb6910aeec4039c0,https://www.douyin.com/share/video/7386185046987689267/?mid=
土逗泥,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65115218&tab=&ts=1719989024&sign=2d86c7ce98f26a9bc7dc3ab77a5339a9,lllll567891109,6530,今天先教一个八字胯吧 想想下次教什么#八字胯 #八字胯教学 #扭一扭 #舞蹈教学 #一学就会系列,2024/6/29 18:48:24,43秒,88.0,115439,3568,29728,61851,3967224,"拉丁,老师,好像,学会了,学学,会了,OK,拉丁舞,快学,屁股,感觉,宕机,八字,眼睛,九转,大肠,伦巴,给我,学会,扭胯,来学,学了,学过,我学,宝宝,学吧,发呆,你学,教程,笑了",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385875266796637466&dateCode=20240629&ts=1719989024&sign=017ea1a98845fea993da6e328bf34a5c,https://www.douyin.com/share/video/7385875266796637466/?mid=
赵八岁,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65629598&tab=&ts=1719989024&sign=9c0954dca24a4b59998f70ad1813fd09,1634322031,2008,走的时候是对方照片  回来发现都换了  都是千年狐狸#废话连篇系列 #异地恋#异地恋见面,2024/6/29 18:06:17,17秒,88.0,76033,49824,130407,2196,7173387,"还好,男朋友,壁纸,屏保,宝宝,照片,我女朋友,虚伪,女生,OK,调皮,手机屏保,设置,是吧,姐夫,评论区,在一起,都是,九转,大肠,微信,置顶,你是不是,女的,就是你,发呆,哭了,没事,公开,是我",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385864405839383871&dateCode=20240629&ts=1719989024&sign=8fb7d5eb5a17946c7dc9efaec6bfcb0c,https://www.douyin.com/share/video/7385864405839383871/?mid=
