播主昵称,达人详情链接,抖音号,视频标题,发布时间,视频时长,热词,视频详情链接,视频链接,PC1,PC2
黄实旺,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=59163512&tab=&ts=1719989024&sign=28e43377d1204e4388b5f68caac1f3da,HSW3493470151,哈哈哈,2024/7/1 11:01:51,33秒,,https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386497221031759144&dateCode=20240701&ts=1719989024&sign=3f8ac97ff73a88e42e730e3b907e292a,https://www.douyin.com/share/video/7386497221031759144/?mid=,-2343889.8830296877,-24942.072934336335
沫沫的一家🇨🇳,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=48032066&tab=&ts=1719989024&sign=eb02442ae6139f9c4a740511ead66e00,2124825924,衣服花不了多少钱，却可以温暖老人的心…不要让爱我们的人寒了心 #人类幼崽 #语出惊人的熊孩子 #古灵精怪 #萌娃日常 #母女日常,2024/6/30 23:32:03,2分,"爱心,小宝贝,小美女,懂事,感谢,点赞,宝贝,真棒,你点赞,聪明,孩子,小女孩,小公主,小朋友,道理,平安果,太好了,太对了,小孩,说的真好,奶奶,小姑娘,孝顺,抱抱,小可爱,真可爱,大人,宝宝,长大,好孩子",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386319436057300250&dateCode=20240630&ts=1719989024&sign=c0931a31d10624afbcf58fa2d7974015,https://www.douyin.com/share/video/7386319436057300250/?mid=,1120810.961380373,46894.67926970517
千千🤍,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=42364321&tab=&ts=1719989024&sign=7a78b1b68d4b257f5f52ae94ed781c3d,545545lhl,吴艳妮你就是牛逼！ ！ 12.74 再破pb 名副其实亚洲一姐🏆 #吴艳妮 #比赛现场 #女子100米栏 #田径,2024/6/30 20:55:57,17秒,"吴艳妮,四川,实力,好厉害,后程,喜欢,厉害,牛逼,自信,骄傲,感觉,运动员,张扬,喷子,女人,好棒,燕妮,中国,猪头,太牛了,起跑,支持,雨薇,成绩,为国争光,妮姐,好看,发呆,巴黎,跨栏",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386279236790783295&dateCode=20240630&ts=1719989024&sign=68947dce2f31a72a6aaadf8c13215ae0,https://www.douyin.com/share/video/7386279236790783295/?mid=,-973771.9753363237,1103.4924951469166
蓉妈爱美食,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=54928061&tab=&ts=1719989024&sign=42876b3c0e6a45f89cddc11884058e2a,83858394311,这个剪茄子饼，外酥里嫩真是太好吃了 #煎茄子饼  #茄子的神仙吃法 #美食教程 #一起学做菜 #做茄子,2024/6/30 18:18:03,1分23秒,"爱心,好吃,茄子,感谢,黑芝麻,抱抱,试试,做过,惊讶,看着,食欲,茄子皮,营养,试着做,面粉,我家,后院,不爱,尝尝,教会,真棒,挺好,最有,韭菜盒子,带馅,行吗,六零,河南人,吃到,油大",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386238546908138786&dateCode=20240630&ts=1719989024&sign=dafc54814a750c895bf0388e2c5a80b8,https://www.douyin.com/share/video/7386238546908138786/?mid=,-1508999.0112146267,5747.16319913064
肠肠📸,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=20524616&tab=&ts=1719989024&sign=2c7552f6c0b453313c7cfe6cf740db8d,thebfg127,"还在为高考志愿发愁吗？别愁了！快来新疆上大学吧！
视频创意👉🏻@呆勾狗 
#志愿填报
 #高考后填志愿的你 
 #高考志愿填报指南 
#带你走进心仪的大学 
#伊犁师范大学",2024/6/29 12:01:18,,"新疆,路费,老实,太远,学费,不包邮,空调,OK,来回,宕机,不错,学校,快递,不提,大学,逞强,落泪,车费,刷到,九转,大肠,小时,山东,时差,挺好,发呆,好美,分数,确实,够了",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385770367630970124&dateCode=20240629&ts=1719989024&sign=a442640ddf36933dfca70d8fd8b73fa3,https://www.douyin.com/share/video/7385770367630970124/?mid=,-2039835.5622614638,-27829.13465409909
Mr.阿峰🫡   【哲领】,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65352452&tab=&ts=1719989024&sign=8d8ad1aa86381cce9887587e231f2c99,72872891662,中国强 则少年强 我去尿尿和泥巴去了,2024/6/26 18:17:10,3分57秒,"废物,是2,晚上好,我是废物,孩子,新来的,听过,大家好,抖音,小孩,不知道,老废物,都不会,分来,提醒,在座,你们好,系统,少年,报道,放心,我儿子,天才,九转,大肠,感觉,儿子,大废物,刚来,三个字",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384753964329323795&dateCode=20240626&ts=1719989024&sign=9dc4f19dbd60a8d827f225d4c276d492,https://www.douyin.com/share/video/7384753964329323795/?mid=,-2455629.6790657626,-45466.93962890253
阿轩想增肌,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65707649&tab=&ts=1719989024&sign=75493356bd786f8eab91e77f576cd6a3,xcyx20071010jzya,#暑假工 #精神状态,2024/6/28 19:32:29,22秒,"暑假工,老实,OK,上班,小时,找不到,工作,大肠,九转,打工,下班,找到,进厂,感觉,休息,工资,宕机,牛马,真实,没事,干了,不想,笑死我了,逞强,落泪,调皮,实习,裂开,上了,老板",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385515544780229923&dateCode=20240628&ts=1719989024&sign=1620d991c17644cd8627570b4a4983a9,https://www.douyin.com/share/video/7385515544780229923/?mid=,-2986666.7602526206,-32881.793052410256
小幸运yyds👑,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=33753610&tab=&ts=1719989024&sign=cf043327732e68dd07e73c936da25f34,37054327369,#搞笑 #搞笑视频 #对个口型,2024/6/27 23:37:58,15秒,"爱心,感谢,不热,抱抱,美女,漂亮,好可爱,平安果,跑的,快点,唱的,真好听,慢点,朋友,调皮,咖啡,你能,OK,真棒,太可爱了,有才,别跑,跑的真快,凉快,点赞,真逗,抖音,好听,可爱的,妹妹",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385207698385538330&dateCode=20240627&ts=1719989024&sign=210ce6dd0692a928e02cec2d5921101f,https://www.douyin.com/share/video/7385207698385538330/?mid=,1441216.2555699593,-29703.534007511902
南和区佰元裤业,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=15957367&tab=&ts=1719989024&sign=cd960b77e22c13ad7e4bb7ec0730709f,1224887953,#遇见更美的自己 #闲拍,2024/6/27 18:21:38,10秒,"很美,好看,漂亮,美颜,底子,抖音,好美,特效,女人,很漂亮,美女,好漂亮,刘涛,感觉,素颜,美的,太美了,抱抱,是美女,确实,衣服,姐妹,拍的,发型,打扮,照片,感谢,美颜相机,化妆,有了",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385126182569774355&dateCode=20240627&ts=1719989024&sign=00379ee1b092be8f71120d35b22e0887,https://www.douyin.com/share/video/7385126182569774355/?mid=,12370460.144519672,-190213.02848600064
燕语悟,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=28141046&tab=&ts=1719989024&sign=3f55e2334ce3ba2549483b03d8ffbf9d,xi21116,#男人女人,2024/6/27 17:16:56,11秒,"亲嘴,皮肤,美女,亲了,女人,原因,亲亲,抱抱,感觉,放屁,男人,没人,没亲,单身,长痘,道理,老婆,长痘痘,专家,不知道,失眠,漂亮,嘴唇,爱心,找不到人,坏处,亲过,忘记,忘了,老公",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385109523255610664&dateCode=20240627&ts=1719989024&sign=ea6913e06e400e474069eb2a57eeee6c,https://www.douyin.com/share/video/7385109523255610664/?mid=,3248164.6581327002,-62763.87853389615
呱小呱😉.,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=38036214&tab=&ts=1719989024&sign=6aab0e1f86528bad663fb41fd146697e,YoloMissComma.,世俗是谁？我为啥要在乎它的眼光？愿所有女生都 野蛮生长 做自己的月亮 玫瑰千千万 要做风 要做雨 要做光 要做又美又飒大女主.,2024/6/27 14:58:08,26秒,"光头,好看,漂亮,勇气,头发,感谢,发型,从头开始,多大,剃光头,颜值,烦恼,出家,从头再来,好看的,头型,灵机一动,这是,早日康复,姑娘,勇气可嘉,美女,勇敢,世俗,阿弥陀佛,做自己,化疗,失恋,剃光,狠人",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385073747809537291&dateCode=20240627&ts=1719989024&sign=a22d28b8378f059e523732b89f9adfe7,https://www.douyin.com/share/video/7385073747809537291/?mid=,-1591315.4580914106,-57056.62810318804
珠山区融媒体中心,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=18239891&tab=&ts=1719989024&sign=ebd8c49549687ed90d34c44dcc00a172,guzhenzhushan,妈妈取消书法课想给孩子“减负”，萌娃哭诉“退一个都不行，我以后要给中国制造导弹”#小孩哥 #暑假嗨玩计划 #爱国 #别人家的孩子,2024/7/2 10:27:07,38秒,"孩子,我家,我儿子,儿子,妈妈,给他,导弹,不想,书法,想学,小孩,喜欢,兴趣班,让我,老师,不行,压力,好孩子,学习,这是,报班,国家,我女儿,回来了,英语,街舞,架子鼓,爱学习,给我,我闺女",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386859336519241014&dateCode=20240702&ts=1719989024&sign=6715d24a33da0bacd823490694b67a54,https://www.douyin.com/share/video/7386859336519241014/?mid=,-3190210.8235051734,-24315.843588486478
七喜是只小白狗,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=16214116&tab=&ts=1719989024&sign=23c235f92746383955207139c0793293,QQ980903,邪恶摇粒绒#比熊 #狗狗 #邪恶摇粒绒 #摇粒绒小狗 #一坨棉花糖狗狗,2024/7/1 21:17:54,8秒,"摇粒绒,邪恶,地包天,我家,好可爱,笑死我了,兜兜,姚丽荣,生气,九转,大肠,这是,小狗,牙齿,发呆,比熊,宕机,暗中观察,狗子,样子,奶凶奶凶,宝宝,傻狗,好像,兜齿,吃了,太可爱了,小表情,看我,见过",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386655981393988903&dateCode=20240701&ts=1719989024&sign=6d685a4c45255df748dda07f561d1251,https://www.douyin.com/share/video/7386655981393988903/?mid=,1348659.6305038307,1058.3469620727383
旅拍洋洋,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=64619916&tab=&ts=1719989024&sign=885aac11c95fdbeb51e7977866bb7264,81945620666,微胖女孩也可以拍飞天噢#敦煌飞天 #青甘大环线 #莫高窟#青甘大环线,2024/7/1 7:05:59,51秒,"好看,摄影师,微胖,五官,飞天,漂亮,瘦下来,好好看,很美,好看的,好美,真好看,喜庆,拍出来,技术,好漂亮,这是,照片,好可爱,太美了,减肥,感谢,感觉,美的,价格,在哪里,好像,胖点,女孩,太漂亮了",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386436428105878825&dateCode=20240701&ts=1719989024&sign=562883323eec6c015ff696e8936dca4b,https://www.douyin.com/share/video/7386436428105878825/?mid=,3145157.5346116093,-89930.35574294771
LI_YIXuan,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=15833069&tab=&ts=1719989024&sign=fee70e9ef5aea0536049a72836e74985,94813868,许愿遇见一个连我背影都记录的人,2024/6/30 23:16:27,,"记录,背影,许愿,谢谢,的人,学着点,丑照,样子,已有,羡慕,遇见,长大,好看的,拍的,文案,调皮,正脸,只爱,美女,同款,荣幸之至,方圆脸,姐妹,抓拍,有男朋友,许愿成功,理想,模样,出去玩,想发",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386315411727338804&dateCode=20240630&ts=1719989024&sign=e2248ee08dc764587dda9b39cc101ede,https://www.douyin.com/share/video/7386315411727338804/?mid=,-4147727.1913609835,-12838.089683151937
嵩山少林李老师,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=7797636&tab=&ts=1719989024&sign=49425bd425cfa16e3c1c5c4f89320335,Wl3633811104,我的小徒弟太酷了，练武术只会让自己自信，是金子到哪里都会发光👍#师生日常,2024/6/29 17:37:24,15秒,"爱心,感谢,真棒,少年,孩子,小朋友,平安果,太棒了,强则,中国,你真棒,国强,厉害,好棒,点赞,宝贝,棒棒哒,小帅哥,小孩子,小伙子,好功夫,好厉害,你点赞,抱抱,好孩子,真厉害,功夫,灵机一动,本领,为你",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385856958055714067&dateCode=20240629&ts=1719989024&sign=a3f1fd5c5f138dd17542dd35c973016f,https://www.douyin.com/share/video/7385856958055714067/?mid=,-2436772.553279588,160398.98171688008
辛吉飞甄选好物,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=44119565&tab=&ts=1719989024&sign=630bf9e84b6a05df443f8815e2de4883,1128368448,辛吉飞丸子的科技狠货 飞哥建议丸子选正规厂家 或者自己做丸子的科技狠活#食品安全 #科技狠货,2024/6/29 9:53:21,19秒,"丸子,不吃,东西,吃了,中国,吃丸子,都是,麻辣烫,国家,安井,玩意,牛肉丸,食品,吃的,还好,能吃,火锅丸,喜欢,爱吃,不爱,不能吃,科技,火锅,恶心,好吃,别吃,吃火锅,便宜,中国人,不喜欢",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385737382294834495&dateCode=20240629&ts=1719989024&sign=692951f63efc7bfde84936a7cb2d395c,https://www.douyin.com/share/video/7385737382294834495/?mid=,3051536.7875437927,12117.488808724544
星河~……,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65649339&tab=&ts=1719989024&sign=80385f48a8c9a5434f085baa81935c73,123456789.wgx,#物归原主！,2024/6/27 20:38:14,12秒,"德国,回来,英国,归还,组队,强大,文物,国家,S3,中国,东西,邀请,赛季,日本,s3,月壤,真的假的,博物馆,月球,申请,大英博物馆,祖国,还了,这是,想要,土壤,九转,大肠,都会,主动",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385161415834815807&dateCode=20240627&ts=1719989024&sign=53aa4a80d94ff7c5b96e9cdb72dc8540,https://www.douyin.com/share/video/7385161415834815807/?mid=,-2728427.9206042634,-40079.73338475077
星柠短剧,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=21891601&tab=&ts=1719989024&sign=de7f0f832193972bb28438ca8938a9eb,JRHW2021,拥抱春天的你-第1集 #短剧 #亲情 # #拥抱春天的你 #抖音短剧新番计划 #剧有力量计划 ,2024/6/27 10:15:50,2分9秒,"耳环,感谢,妈妈,耳朵,爱心,好看,抱抱,太假了,真好,带着,小女孩,女儿,好人,导演,小美女,掉了,水里,漏洞百出,都会,小孩,抱拳,男人,作品,抓到,还能,孩子,好假,戴着,不严谨,一生",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385001001679392040&dateCode=20240627&ts=1719989024&sign=953c33ef7826dee91cbe712c73fcea54,https://www.douyin.com/share/video/7385001001679392040/?mid=,5370857.6204478685,-22395.322916512076
宋皮子很日常,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=16901295&tab=&ts=1719989024&sign=82dd05889cdfd8ebf74f8db52cd9c4b8,pipi888521,吃鸡爪子吃出的蹦迪的感觉 吃鸡爪子吃出了蹦迪的感觉！#分享日常生活 #哎呀妈呀太香了 #好吃到停不下来 @宋皮子,2024/7/1 13:24:01,30秒,"鸡爪,笑死我了,吃鸡爪,踢踏舞,跳舞,声控灯,减肥,运动,鸡爪子,教程,笑死了,做的,九转,大肠,笑死,看着,给我,习俗,不一样,瘦死,评论,评论区,热量,宕机,猪头,好好吃,好吃,吃个,大妹子,跳上",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386533859887729946&dateCode=20240701&ts=1719989024&sign=e946cd7a361856eddf26c0fddcf30600,https://www.douyin.com/share/video/7386533859887729946/?mid=,-3264798.1309618144,-18019.048026622626
你几斤盐,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65368336&tab=&ts=1719989024&sign=7a0be146a000d2277276324de660d818,41654954913,"人间芭比吴谨言❤️‍🔥好美呀小吴老师 
#吴谨言 #墨雨云间吴谨言",2024/6/28 18:26:03,6秒,"好美,王星,好漂亮,好看,好像,感觉,太美了,好好看,吴谨言,姐姐,get,猫猫,吴姐,好美啊,适合,公主,妆造,夫妻相,阿狸,漂亮,有点像,宝宝,王涛,美死了,baby,猪头,养人,红气,小美,我去",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385498403158953266&dateCode=20240628&ts=1719989024&sign=3d13027d0147f69e1e41180a3e837036,https://www.douyin.com/share/video/7385498403158953266/?mid=,635167.8659650658,-45341.49977821178
金加洲《易筋经》,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=53496956&tab=&ts=1719989024&sign=25f90e714fcdeb0fee3d503590b130a1,60577955702,蒜虽好但不可多吃 蒜虽好但不可多吃#养生 #传统文化 #中医 ,2024/6/28 17:44:21,27秒,"不吃,大蒜,吃肉,吃面,爱吃,修行,吃了,韭菜,山东人,南方人,喜欢,洋葱,味道,葱姜蒜,香味,杀菌,大师,五荤,香菜,北方人,发呆,身体,感觉,葱蒜,智慧,炒菜,不能吃,不好,不喜欢,原因",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385487694199131428&dateCode=20240628&ts=1719989024&sign=1852843949f8e0e5d3e9e4186349caa6,https://www.douyin.com/share/video/7385487694199131428/?mid=,-1381082.8095903958,-9367.422051105685
重生短剧,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65045684&tab=&ts=1719989024&sign=291a6dd6726c53afa33e3205af4c8958,75699375032,#离婚后我带娃虐翻前夫家 #大结局 #因为一个片段看了整部剧 #妻子的选择剧情好解气 #一口气看完一部剧,2024/6/27 1:36:55,39分43秒,,https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384867265986039092&dateCode=20240627&ts=1719989024&sign=21db647f8bd8a9c25ab00b241393fec5,https://www.douyin.com/share/video/7384867265986039092/?mid=,2416026.1365158013,-62120.416863228755
Burrito,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=46845817&tab=&ts=1719989024&sign=caff8f53ed8b28cdac5cca9aea54563d,Juanbinontheroad,"眼泪、树、风、沙粒都会成为我生命的一部分
#inmyfeelings #infp #旅行 #图文伙伴计划2024",2024/6/26 16:49:22,,"生命力,感觉,好喜欢,自由,生命,照片,喜欢,有感觉,文案,滤镜,相机,infp,眼泪,沙粒,都会,幸福,抱抱,dazz,好美,世界,胶片,拍的,青海,好看,想哭,se2,人生,首歌,好好看,在路上",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384731312629812507&dateCode=20240626&ts=1719989024&sign=286a6be09a641c4f4e6c9503d2dbd991,https://www.douyin.com/share/video/7384731312629812507/?mid=,-2748303.0111991595,22911.3065034718
茜茜子💚,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=63539809&tab=&ts=1719989024&sign=7132520b8b47ef9ffc71f008609d2237,2069366070,#顾茜茜,2024/7/1 23:24:57,54秒,"看吧,看散,爱看,老婆,男朋友,OK,道理,调皮,多看,喜欢,看帅哥,九转,大肠,跟他,宕机,不结婚,给他,女的,没事,懂了,发呆,你看,放养,前男友,朋友,男人,宝宝,暗中观察,看了,无所谓",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386688703931976996&dateCode=20240701&ts=1719989024&sign=8004958220632fd4aec71fdfbc9e4c11,https://www.douyin.com/share/video/7386688703931976996/?mid=,-1730171.3574516897,-41421.61949944025
李晓霞❤️,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=27650165&tab=&ts=1719989024&sign=9b4acf41e9894f671b8afd30c34d718e,38004001503,有颜值，有身段，能下厨房，会打扮，是你要找女朋友标准吗？,2024/6/28 11:55:51,7秒,"男人,喜欢,女人,这是,不白看,爱看,好看,爱心,二不骗,身材,陌生人,黑暗,拒绝,一不骗,现实,底层,送温暖,抖音,繁星,女色,程儿,做起,微不足道,没人,春风,过客,星河,聊天,好色,美女",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385397859471871266&dateCode=20240628&ts=1719989024&sign=0a69dfea750368c77ded3cde8ef9c943,https://www.douyin.com/share/video/7385397859471871266/?mid=,273051.51192336367,359022.404014487
小盐先森呀,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=9689219&tab=&ts=1719989024&sign=f675031d4f2b9f86701a99c0e3005da0,Zhuwofacaila,卡洛斯真男人 最爽的一口烟即将开始 先点炸药后点烟，卡洛斯真男人#生化危机 看了是不是想拔一根了,2024/6/26 23:07:58,41秒,"点烟,最爽,抽烟,先点,戒烟,酸萝卜,别吃,全宇宙,刷到,广告,卡洛斯,点上,丧尸,一口,讲究,打火机,藏烟,英雄,引线,宇宙,九转,大肠,导演,看着,看了,香烟,白干,感觉,暗中观察,兄弟",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384828918517206291&dateCode=20240626&ts=1719989024&sign=0b1cbc2d8acf2bdd35bf1d436800d1e9,https://www.douyin.com/share/video/7384828918517206291/?mid=,-2782942.5204621637,-8688.300916472228
Sahar,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=63936222&tab=&ts=1719989024&sign=64c89416d15f32cc6a3aef8b189c4df5,Nov1131,"粉丝过万，分享独特护发方法
#夏天就要享受自由自在",2024/7/2 13:36:54,9秒,"头发,宕机,发呆,老公,九转,大肠,感觉,喜欢吗,调皮,欣赏,绝望的,喜欢,这是,你们老公,噢买尬,爱看,妖娆,身材,肌肉,舞姿,肌肉男,郎才女貌,形容,中国,姐妹,丝滑,猪头,好看,给你,男人",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386908249305402661&dateCode=20240702&ts=1719989024&sign=a93e7d6ef7c3920c315eac204e202c15,https://www.douyin.com/share/video/7386908249305402661/?mid=,1538981.6096175772,-20601.762749559733
琴心无胆,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=7061190&tab=&ts=1719989024&sign=fd08fac6d7143ff217651f09c830db0f,qinxinwudan,军民鱼水情#清溪#解放军来了 #歙县,2024/6/30 8:06:01,19秒,"感谢,人民,爱心,子弟兵,军人,解放军,致敬,画面,孩子,温馨,军民,宝宝,可爱的人,鱼水情,中国军人,小孩,温暖,暖心,叔叔,抱抱,安全感,的人,可靠,中校,中国,怀抱,长大,亲人,小宝贝,人民解放军",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386080795116440873&dateCode=20240630&ts=1719989024&sign=b545c8631bc246ce8a4df1acef0ff1ba,https://www.douyin.com/share/video/7386080795116440873/?mid=,-2647942.3705813615,-32660.667504679215
hey.,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=59548665&tab=&ts=1719989024&sign=aaa0f2ad78c31516e45aca20c2b2f3ba,91043410772,看看谁家粉丝吃这么好，阳仔在大庆演唱会上为粉丝清唱《情人》，啊啊啊啊啊啊太宠粉了吧，真是对粉丝有求必应😭😭😭#小沈阳 #小沈阳大庆演唱会 #小沈阳我不是歌手 #万人大合唱,2024/6/30 0:05:11,39秒,"小沈阳,情人,好听,阳仔,二人转,大嘴唇,清唱,沈鹤,唱歌,喜欢,演唱会,确实,春阳,嗓子,实力,感觉,唱功,销魂,首歌,好像,说书人,刀郎,大庆,让我,真好,杜德伟,嗓音,嘴唇,灵机一动,高音",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385956891035307298&dateCode=20240630&ts=1719989024&sign=c866f7fad55606f82f7df0c316034fdb,https://www.douyin.com/share/video/7385956891035307298/?mid=,12555351.904918186,-149201.19793948223
白狗,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=34851205&tab=&ts=1719989024&sign=d3f62aade505be604673c5c1c4b54c1b,10072785,日本打工人的午餐，麦当劳上线！ 日本打工人的午餐，麦当劳上线！#美食 #日本 #日本生活,2024/6/29 20:16:18,34秒,"打工人,饕餮,OK,汉堡,日本,工人,宕机,碳水,能吃,感觉,饭量,哥们,餐餐,日本人,发呆,午餐,吞咽,我能,吃的,工资,不会打,完去,日本打工,大胃王,泡面,看着,打工,疑问,镜头,九转",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385897838208683304&dateCode=20240629&ts=1719989024&sign=cc1e4ceb1c7b624b4f378451bdbd0ab3,https://www.douyin.com/share/video/7385897838208683304/?mid=,-2068092.4289479926,24966.09895553328
是只胖头鱼🤓,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=42113023&tab=&ts=1719989024&sign=b1039b61ba796b1066b7a0c39b620dfa,39682239054,怎么样才能让好朋友刷到这个视频呀#艾特你想艾特的人 #是时候安排一下了 #史迪仔 #玩偶 #快分享给你的好友,2024/6/29 13:51:33,5秒,"艾特,刷到,手滑了,不小心,想要,宝宝,好朋友,史迪仔,我要,调皮,抖音,手滑,吃饭了吗,猪头,我想要,不到,灵机一动,谢谢,点到,好可爱,给我,发呆,抱抱,喜欢,姐姐,推荐,功能,不知道,手机,暗中观察",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385798750180068671&dateCode=20240629&ts=1719989024&sign=2012824b7aa2ca03e6e31f834906014f,https://www.douyin.com/share/video/7385798750180068671/?mid=,-3333289.3441724763,-36354.81502583285
程汁儿,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65711041&tab=&ts=1719989024&sign=6bd69a8532cb5c78c34e6f427beb1698,36397819929,报一丝啊#王俊凯,2024/6/29 9:35:28,8秒,"王俊凯,宕机,笑死我了,老公,九转,大肠,OK,立牌,发呆,跳舞,笑死了,努力了,努力,凯哥,我服了,野孩子,小凯,王源,不想,抖音,给你,评论区,TFBOYS,疑问,调皮,见过,救命,不吃,大王,艾特",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385732779549461797&dateCode=20240629&ts=1719989024&sign=52f9fffcaa45b7306e58df9a828422b0,https://www.douyin.com/share/video/7385732779549461797/?mid=,-1105005.7593888126,-28437.960924857907
剪尼煤,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=24163994&tab=&ts=1719989024&sign=dfc03cc873967925f018ba77ff99f30a,1828106110,原谅我我今天才知道笔帽的作用，我白甩了20几年？#笔帽竟然是这样用的,2024/6/28 22:15:34,32秒,"笔帽,笔芯,告诉我,才知道,断墨,宕机,用嘴,不知道,设计师,发呆,刷到,写字,说明书,塞不进去,垃圾桶,扔掉,毕业,上学,使劲,九转,大肠,笔尖,我丢,谢谢你,暗中观察,原理,尾巴,告诉,挤压,不到",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385557575707790602&dateCode=20240628&ts=1719989024&sign=4bc9e131173807aa391723561399926a,https://www.douyin.com/share/video/7385557575707790602/?mid=,170673.40167070855,-49603.50470089579
探马Snow,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=64277506&tab=&ts=1719989024&sign=9702781314b41cd15adea2a1c52d43c6,278115589,川普拜登2024首场辩论 第一小辩 #美国大选 #川普 #学英语,2024/6/28 9:44:12,3分49秒,,https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385363872473025844&dateCode=20240628&ts=1719989024&sign=9e6ef57bf1cb8eb6d20fd7a81a98eb8c,https://www.douyin.com/share/video/7385363872473025844/?mid=,-1561745.6596327226,-54348.230742919215
WMG,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=45225683&tab=&ts=1719989024&sign=e400ef0174916575c1ba838dad8c3eff,William0108,improving #国际学校 #颁奖典礼 #10后,2024/6/27 21:29:40,24秒,"手机,圈子,OK,抖音,少爷,继承者们,刷到,宕机,我的手机,学校,分水岭,羊水,继承人,让我,发呆,这是,来了,九转,大肠,挤不进,我善,继承,融入,哈罗,我能,大行,给我,高中,毕业,人机",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385174675510267190&dateCode=20240627&ts=1719989024&sign=af91ab16102a95ee91388225d55cacbd,https://www.douyin.com/share/video/7385174675510267190/?mid=,-1395258.4017195238,208983.86053672212
